Provinsi,Tahun,UMR
ACEH,2019,2916810
SUMATERA UTARA,2019,2303403
SUMATERA BARAT,2019,2289220
RIAU,2019,2662026
JAMBI,2019,2423889
SUMATERA SELATAN,2019,2804453
BENGKULU,2019,2040407
LAMPUNG,2019,2241270
KEP. BANGKA BELITUNG,2019,2976706
KEP. RIAU,2019,2769754
DKI JAKARTA,2019,3940973
JAWA BARAT,2019,1668373
JAWA TENGAH,2019,1605396
DI YOGYAKARTA,2019,1570923
JAWA TIMUR,2019,1630059
BANTEN,2019,2267990
BALI,2019,2297969
NUSA TENGGARA BARAT,2019,2012610
NUSA TENGGARA TIMUR,2019,1795000
KALIMANTAN BARAT,2019,2211500
KALIMANTAN TENGAH,2019,2663435
KALIMANTAN SELATAN,2019,2651782
KALIMANTAN TIMUR,2019,2747561
KALIMANTAN UTARA,2019,2765463
SULAWESI UTARA,2019,3051076
SULAWESI TENGAH,2019,2123040
SULAWESI SELATAN,2019,2860382
SULAWESI TENGGARA,2019,2351870
GORONTALO,2019,2384020
SULAWESI BARAT,2019,2381000
MALUKU,2019,2400664
MALUKU UTARA,2019,2508091
PAPUA BARAT,2019,2934500
PAPUA,2019,3240900
INDONESIA,2019,2455662
ACEH,2020,3165031
SUMATERA UTARA,2020,2499423
SUMATERA BARAT,2020,2484041
RIAU,2020,2888564
JAMBI,2020,2630162
SUMATERA SELATAN,2020,3043111
BENGKULU,2020,2213604
LAMPUNG,2020,2432002
KEP. BANGKA BELITUNG,2020,3230024
KEP. RIAU,2020,3005460
DKI JAKARTA,2020,4276350
JAWA BARAT,2020,1810351
JAWA TENGAH,2020,1742015
DI YOGYAKARTA,2020,1704608
JAWA TIMUR,2020,1768777
BANTEN,2020,2460997
BALI,2020,2494000
NUSA TENGGARA BARAT,2020,2183883
NUSA TENGGARA TIMUR,2020,1950000
KALIMANTAN BARAT,2020,2399699
KALIMANTAN TENGAH,2020,2903145
KALIMANTAN SELATAN,2020,2877449
KALIMANTAN TIMUR,2020,2981379
KALIMANTAN UTARA,2020,3000804
SULAWESI UTARA,2020,3310723
SULAWESI TENGAH,2020,2303711
SULAWESI SELATAN,2020,3103800
SULAWESI TENGGARA,2020,2552015
GORONTALO,2020,2788826
SULAWESI BARAT,2020,2678863
MALUKU,2020,2604961
MALUKU UTARA,2020,2721530
PAPUA BARAT,2020,3134600
PAPUA,2020,3516700
INDONESIA,2020,2672371
